input_tokens,output_tokens,resolution,num_images,trial,latency,cost
1000,256,2550x3300,3,3,1.6270967919845134,0.0012849000000000003
1000,256,2550x3300,3,4,1.8280995830427855,0.0013005000000000002
1000,256,2550x3300,3,2,2.191963041899726,0.0013089
1000,256,3400x4400,1,5,4.322964332997799,0.0006726
1000,256,3400x4400,1,8,4.330477916984819,0.0006756
1000,256,2550x3300,3,1,3.041109458077699,0.0013737000000000003
1000,256,2550x3300,3,5,2.9123876250814646,0.0013551000000000001
1000,256,3400x4400,2,1,1.1039637910434976,0.00089565
1000,256,3400x4400,2,4,2.3699393330607563,0.00089565
1000,256,3400x4400,2,3,2.56105641706381,0.00089565
1000,512,850x1100,1,6,3.100324291968718,0.0004968
1000,512,850x1100,1,10,3.268708833027631,0.0004998
1000,512,850x1100,1,5,3.7642315829871222,0.0005316
1000,256,3400x4400,2,2,3.3740282090147957,0.0009478500000000001
1000,512,850x1100,1,2,4.268702999921516,0.0005454
